device_name,score
GeForce GTX 1060,0.0
Device 73bf,0.0
Device 73bf,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
Device 73bf,0.0
Device 73bf,0.0
GeForce GTX 1060,0.0
AMD Radeon RX Vega 10 Graphics,0.0
GeForce GTX 745,0.0
Device 73bf,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce GTX 745,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
Device 73bf,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
Navi 10 [Radeon RX 5600 OEM/5600 XT / 5700/5700 XT],0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
AMD Radeon Graphics,0.75
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
GeForce RTX 3060,0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
GeForce GTX 745,0.0
Navi 10 [Radeon RX 5600 OEM/5600 XT / 5700/5700 XT],0.0
Navi 10 [Radeon RX 5600 OEM/5600 XT / 5700/5700 XT],0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
GeForce GTX 1650 Ti,0.0
AMD Radeon Graphics,0.75
GeForce GTX 1060,0.0
GeForce GTX 1060,0.0
GeForce RTX 3060,0.0
GeForce GTX 1060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce GTX 1080 (Display),0.8
GeForce GTX 1080 (Display),0.8
GeForce GTX 1080 (Display),0.8
GeForce GTX 1080 (Display),0.8
GeForce GTX 1080 (Display),0.8
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
AMD Radeon Graphics,0.75
AMD Radeon 530,0.0
AMD Radeon Graphics,0.75
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
AMD Radeon Graphics,0.75
AMD Radeon Graphics,0.75
AMD Radeon Graphics,0.75
AMD Radeon Graphics,0.75
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
AMD Radeon Graphics,0.75
AMD Radeon Graphics,0.75
GeForce GTX 1650 Ti,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060 Laptop GPU,0.8205128205128205
AMD Radeon R9 200 Series,0.0
AMD Radeon R9 200 Series,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
Intel Iris Xe Graphics,0.5833333333333334
Intel Iris Xe Graphics,0.5833333333333334
Intel Iris Xe Graphics,0.5833333333333334
GeForce GTX 1650 Ti,0.0
Vega 10 XTX [Radeon Vega Frontier Edition],0.0
AMD Radeon Graphics,0.75
GeForce RTX 3060,0.0
Navi 10 [Radeon RX 5600 OEM/5600 XT / 5700/5700 XT],0.0
NVIDIA GeForce RTX 3060,0.0
Vega 20 [Radeon VII],0.3888888888888889
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
Navi 21 [Radeon RX 6800/6800 XT / 6900 XT],0.0
Vega 20 [Radeon VII],0.3888888888888889
Vega 20 [Radeon VII],0.3888888888888889
Vega 20 [Radeon VII],0.3888888888888889
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
Navi 14 [Radeon RX 5500/5500M / Pro 5500M],0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
AMD Radeon R9 200 Series,0.0
NVIDIA GeForce GTX 1650 Ti,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
AMD Radeon R9 200 Series,0.0
GeForce GTX 1650 Ti,0.0
Quadro RTX 3000,0.0
GeForce RTX 3060,0.0
Quadro P3200,0.0
Quadro P3200,0.0
GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060 Laptop GPU,0.8205128205128205
NVIDIA GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
Device 73bf,0.0
AMD Radeon R9 200 Series,0.0
Device 73bf,0.0
Intel Iris Plus Graphics,0.41379310344827586
GeForce GTX 745,0.0
NVIDIA GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
NVIDIA GeForce RTX 3060,0.0
GeForce RTX 3060 Laptop GPU,0.8205128205128205
