renderedObject,renderTime,gpuName,gpuBackend,peakMemory,releaseYear,baseClock,boostClock,textureRate,pixelRate,architecture,memoryType,generation,busInterface,rtCores,tensorCores
bmw27,236.047,GeForce GTX 1050 Ti,CUDA,146,2016,1291.0,1392.0,66.82,44.54,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,76.9753,GeForce GTX 1660 SUPER,OPTIX,131.13,2019,1530.0,1785.0,157.1,85.68,Turing,GDDR6,GeForce 16,PCIe 3.0 x16,0,0
bmw27,170.055,Radeon RX 580 Series,OPENCL,2149.18,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,38.8095,AMD Radeon RX 6800 XT,OPENCL,2149.18,2020,1825.0,2250.0,648.0,288.0,RDNA 2.0,GDDR6,Navi II(RX 6000),PCIe 4.0 x16,72,0
bmw27,132.713,GeForce GTX 1650,OPTIX,131.13,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
classroom,370.141,Radeon RX 580 Series,OPENCL,2277.14,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
bmw27,39.5707,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,30.9639,GeForce RTX 2060 SUPER,OPTIX,131.13,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
classroom,504.564,GeForce GTX 1650,OPTIX,345.3,2019,1485.0,1665.0,93.24,53.28,Turing,GDDR5,GeForce 16,PCIe 3.0 x16,0,0
bmw27,38.1598,GeForce RTX 2080 Ti,CUDA,146,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,172.859,Radeon RX 580 Series,OPENCL,2149.18,2017,1257.0,1340.0,193.0,42.88,GCN 4.0,GDDR5,Polaris(RX 500),PCIe 3.0 x16,0,0
classroom,682.65,GeForce GTX 1060 6GB,OPTIX,345.3,2016,1506.0,1709.0,136.7,82.03,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
bmw27,66.4127,GeForce RTX 2060 SUPER,CUDA,146,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
bmw27,28.6668,GeForce RTX 2060 SUPER,OPTIX,131.13,2019,1470.0,1650.0,224.4,105.6,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,34,272
bmw27,22.7538,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
bmw27,71.6963,AMD Radeon RX 5700,OPENCL,2149.18,2019,1465.0,1725.0,248.4,110.4,RDNA 1.0,GDDR6,Navi(RX 5000),PCIe 4.0 x16,0,0
classroom,553.231,GeForce GTX 1060 6GB,CUDA,352.55,2016,1506.0,1709.0,136.7,82.03,Pascal,GDDR5,GeForce 10,PCIe 3.0 x16,0,0
pavillon_barcelona,218.781,GeForce RTX 2080 Ti,CUDA,156.3,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
fishy_cat,30.392,GeForce RTX 2080 Ti,OPTIX,556.68,2018,1350.0,1545.0,420.2,136.0,Turing,GDDR6,GeForce 20,PCIe 3.0 x16,68,544
bmw27,291.628,AMD Radeon R9 380 Series,OPENCL,833.27,2015,970.0,970.0,108.6,31.04,GCN 3.0,GDDR5,Pirate Islands(R9 300),PCIe 3.0 x16,0,0
bmw27,8.94169,GeForce RTX 3090,OPTIX,131.13,2020,1395.0,1695.0,556.0,189.8,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,82,328
bmw27,22.2091,GeForce RTX 3080,CUDA,146,2020,1440.0,1710.0,465.1,164.2,Ampere,GDDR6X,GeForce 30,PCIe 4.0 x16,68,272
