renderedObject,object_rows,feature_set,model,num_features,features,MAE,RMSE,R2
barbershop_interior,874,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",969.667982090538,2739.6844835100055,0.6647768701161143
barbershop_interior,874,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",984.505788920169,2767.618510200636,0.6576771453256174
barbershop_interior,874,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",998.2160068519515,2790.9908523253835,0.6520052341375427
barbershop_interior,874,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",999.1663291469098,2810.1827289993694,0.6459702793832504
barbershop_interior,874,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1030.5564968825363,2856.719134719093,0.6339933363629943
barbershop_interior,874,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1717.2668034941544,4587.1608941983895,0.063000665267353
barbershop_interior,874,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",1732.7820445950822,4932.470973488391,-0.08415644355671874
barbershop_interior,874,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",1732.7820445950822,4932.470973488391,-0.08415644355671874
bmw27,30756,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",11.960154645135008,96.0992023508416,0.6850876422738073
bmw27,30756,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",12.11118172321435,97.88109971013635,0.674768572763413
bmw27,30756,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",16.600220321668658,103.31778624836318,0.6433252130281932
bmw27,30756,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",16.61431019099293,98.45223083081778,0.6722466863637448
bmw27,30756,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",16.644294123582828,98.89632106500555,0.6703041632032862
bmw27,30756,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",29.22586385903026,138.69293879110955,0.3506652668773273
bmw27,30756,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",62.14990800916894,172.24514467417035,-0.041345257002930534
bmw27,30756,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",62.14990800916894,172.24514467417035,-0.041345257002930534
classroom,128862,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",8.627586789090241,91.27994562062486,0.34411952539180435
classroom,128862,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",8.738221606160874,92.57125528566955,0.3259097277620783
classroom,128862,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",9.95647263576584,98.20709299079118,0.24151542500427725
classroom,128862,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",12.170950189893702,104.8102771718112,0.13554990101966755
classroom,128862,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",12.3058893094691,105.31183010233053,0.12694056873123727
classroom,128862,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",13.302970949930936,113.38438979292143,-0.013501753111119083
classroom,128862,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",13.302970949930936,113.38438979292143,-0.013501753111119083
classroom,128862,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",15.294800934092285,111.42465456583595,0.021473434730700885
fishy_cat,2096,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",55.60365368690473,407.5162766109681,0.603162710785697
fishy_cat,2096,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",56.54794884806733,413.9523282147723,0.5869607578584793
fishy_cat,2096,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",60.11966519379712,415.7346172102036,0.579966556809471
fishy_cat,2096,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",61.45760131066937,423.6855761851925,0.5569479612387797
fishy_cat,2096,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",63.32415289528554,427.66086612337403,0.5438382535327988
fishy_cat,2096,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",94.18495535238237,491.62127080778515,0.29752950966465513
fishy_cat,2096,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",168.2071242153137,549.8875682133277,-0.01992171999663676
fishy_cat,2096,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",168.2071242153137,549.8875682133277,-0.01992171999663676
junkshop,123757,numerical_only,Dummy Median Baseline,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.4675895489516404,294.65522169416045,-0.025058283912642903
junkshop,123757,mixed_no_gpu_name,Dummy Median Baseline,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.4675895489516404,294.65522169416045,-0.025058283912642903
junkshop,123757,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.5540347080869075,294.5671073314975,0.020500069630270585
junkshop,123757,mixed_no_gpu_name,Hist Gradient Boosting Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.557708084258937,294.56493159691655,0.022039386147457447
junkshop,123757,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.559048766002769,294.5734335941747,0.016722323063044997
junkshop,123757,numerical_only,Hist Gradient Boosting Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.5628721956684193,294.5706450291056,0.019194936180586725
junkshop,123757,mixed_no_gpu_name,Ridge Regression Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",2.584794387746616,294.57609168274075,0.016432788577061725
junkshop,123757,numerical_only,Ridge Regression Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",2.629117120709997,294.60356286542776,0.0022688689885163407
koro,1802,mixed_no_gpu_name,Random Forest Log Target,11,"gpuBackend, baseClock, boostClock, textureRate, pixelRate, architecture, memoryType, generation, busInterface, rtCores, tensorCores",56.60258444376874,174.31244543313377,0.823260898854075
koro,1802,numerical_only,Random Forest Log Target,6,"baseClock, boostClock, textureRate, pixelRate, rtCores, tensorCores",59.92825002025183,173.07787743570307,0.8252663840415022
