Model name,Core clock (MHz),Memory clock (MHz),Memory Size (MiB),Memory Bandwidth (GB/s),Memory Bus width (bit),Fillrate MTexels/s,Fillrate MPixels/s
GeForce 510,523,1800,2048,14.4,64,4500,2100
GeForce GT 520,810,1800,2048,14.4,64,6500,3250
GeForce GT 530,700,1800,2048,28.8,128,11200,2800
GeForce GT 545,720,1800,5120,43,192,17280,11520
GeForce GT 545,870,3996,1024,64,128,20880,13920
GeForce GTX 550 Ti,900,4104,76800,98.5,192,28800,21600
GeForce GTX 555,736,3828,1024,91.9,192,35300,17600
GeForce GTX 560 SE,736,3828,1024,91.9,192,35300,17600
GeForce GTX 560,810,4008,2048,128.1,256,45360,25920
GeForce GTX 560 Ti,822,4008,2048,128.26,256,52610,26300
GeForce GTX 560 Ti,732,3800,25600,152,320,32210,29280
GeForce GTX 560 Ti (448 Cores),732,3800,25600,152,320,40990,29280
GeForce GTX 570,732,3800,25600,152,320,43920,29280
GeForce GTX 580,772,4008,5120,192.384,384,49410,37050
GeForce GTX 590,607,3414,5120,327.74,384,2000,29140
GeForce 605,523,1796,5120,14.4,64,4200,2090
GeForce GT 610,810,1800,5120,14.4,64,6500,3240
GeForce GT 620,810,1796,5120,14.4,64,6500,3240
GeForce GT 620,700,1000,2048,8,64,11200,2800
GeForce GT 625,810,1796,5120,14.4,64,6500,3240
GeForce GT 630,875,1782,2048,28.5,128,14000,14000
GeForce GT 630,700,1600,4096,25.6,128,11200,2800
GeForce GT 630,810,3200,1024,51.2,128,13000,3200
GeForce GT 630,902,1800,2048,14.4,64,14440,7220
GeForce GT 635,967,2002,2048,16,64,15500,7740
GeForce GT 640,720,1782,5120,42.8,192,17300,17300
GeForce GT 640,797,1782,2048,28.5,128,25500,12800
GeForce GT 640,900,1782,4096,28.5,128,28800,14400
GeForce GT 640,950,5000,2048,80,128,30400,15200
GeForce GT 640,1046,5008,1024,40.1,64,16700,8370
GeForce GT 645,776,1914,1024,91.9,192,37300,18600
GeForce GTX 645,823.5,4000,1024,64,128,39500,14160
GeForce GTX 650,1058,5000,2048,80,128,33800,16900
GeForce GTX 650,1058,5000,2048,80,128,33800,16900
GeForce GTX 650 Ti,928,5400,2048,86.4,128,59400,14800
GeForce GTX 650 Ti (Boost),980,6008,2048,144.2,192,62700,23500
GeForce GTX 660,980,6008,5120,144.2,192,78400,23500
GeForce GTX 660,823.5,5800,5120,186,256,79000,19800
GeForce GTX 660 Ti,915,6008,2048,144.2,192,102500,22000
