Model name,Core clock (MHz),Memory clock (MHz),Memory Size (MiB),Memory Bandwidth (GB/s),Memory Bus width (bit),Fillrate MTexels/s,Fillrate MPixels/s,Transistors (million)
nan,475 589,800 790,5120,12.6,64,7600.0,3800.0 2360.0,486 260
nan,700,1800,5120,28.8,128,2800.0,2800.0,585
nan,700,1600 1800,5120,25.6 28.8,128,11200.0,2800.0,585
nan,700,1800,5120,28.8,128,11200.0,2800.0,585
nan,700,1300,5120,10.4,64,11200.0,2800.0,585
nan,810,1800 3200,5120,28.8 51.2,128,12900.0,3200.0,585
nan,594,1600 1800,5120,43.2,192,19440.0,4860.0,1170
nan,790,4000,5120,96.0,192,18900.0,4700.0,1170
nan,783,1200-1600 (GDDR3) 3608 (GDDR5),5120,57.7,128,25000.0,6200.0,1170
nan,650,3400,1024,108.8,256,31200.0,7800.0,1950
nan,650,3400,1024,108.8,256,36400.0,9100.0,1950
nan,675,3600,76800,86.4,192,37800.0,9400.0,1950
nan,675,3600,2048,115.2,256,37800.0,9400.0,1950
nan,779,4008,1024,96.2,192,43600.0,10900.0,1950
nan,608,3206,1024,102.7,256,26700.0,13300.0,3000
nan,608,3348,25600,133.9,320,34000.0,17000.0,3000
nan,701,3696,5120,177.4,384,42000.0,21000.0,3000
GeForce 510,523,1800,2048,14.4,64,4500.0,2100.0,292
GeForce GT 520,810,1800,2048,14.4,64,6500.0,3250.0,292
GeForce GT 530,700,1800,2048,28.8,128,11200.0,2800.0,585
GeForce GT 545,720,1800,5120,43,192,17280.0,11520.0,~1170
GeForce GT 545,870,3996,1024,64,128,20880.0,13920.0,~1170
GeForce GTX 550 Ti,900,4104,76800,65.7+32.8 98.5,128+64 192,28800.0,21600.0,~1170
GeForce GTX 555,736,3828,1024,91.9,128+64,35300.0,17600.0,1950
GeForce GTX 560 SE,736,3828,1024,91.9,128+64,35300.0,17600.0,1950
GeForce GTX 560,810,4008,2048,128.1,256,45360.0,25920.0,1950
GeForce GTX 560 Ti,822,4008,2048,128.26,256,52610.0,26300.0,1950
GeForce GTX 560 Ti,732,3800,25600,152,320,32210.0,29280.0,3000
GeForce GTX 560 Ti (448 Cores),732,3800,25600,152,320,40990.0,29280.0,3000
GeForce GTX 570,732,3800,25600,152,320,43920.0,29280.0,3000
GeForce GTX 580,772,4008,5120,192.384,384,49410.0,37050.0,3000
GeForce GTX 590,607,3414,5120,2× 163.87,2× 384,2000.0,2000.0 29140.0,2× 3000
GeForce 605,523,898 (1796),5120,14.4,64,4200.0,2090.0,292
GeForce GT 610,810,1000 1800,5120,8 14.4,64,6500.0,3240.0,292
GeForce GT 620,810,898 (1796),5120,14.4,64,6500.0,3240.0,292
GeForce GT 620,700,1000-1800,2048,8-14.4,64,11200.0,2800.0,585
GeForce GT 625,810,898 (1796),5120,14.4,64,6500.0,3240.0,292
GeForce GT 630,875,891 (1782),2048,28.5,128,14000.0,14000.0,1300
GeForce GT 630,700,1600-1800,4096,25.6-28.8,128,11200.0,2800.0,585
GeForce GT 630,810,800 (3200),1024,51.2,128,13000.0,3200.0,585
GeForce GT 630,902,900 (1800),2048,14.4,64,14440.0,7220.0,1020
GeForce GT 635,967,1001 (2002),2048,16,64,15500.0,7740.0,1020
GeForce GT 640,720,891 (1782),5120,42.8,192,17300.0,17300.0,1170
GeForce GT 640,797,891 (1782),2048,28.5,128,25500.0,12800.0,1300
GeForce GT 640,900,891 (1782),4096,28.5,128,28800.0,14400.0,1300
GeForce GT 640,950,1250 (5000),2048,80,128,30400.0,15200.0,1300
GeForce GT 640,1046,1252 (5008),1024,40.1,64,16700.0,8370.0,1020
GeForce GT 645,776,1914,1024,91.9,192,37300.0,18600.0,1950
GeForce GTX 645,823.5,1000 (4000),1024,64,128,39500.0,14160.0,2540
GeForce GTX 650,1058,1250 (5000),2048,80,128,33800.0,16900.0,1300
GeForce GTX 650,1058,1250 (5000),2048,80,128,33800.0,16900.0,2540
GeForce GTX 650 Ti,928,1350 (5400),2048,86.4,128,59400.0,14800.0,2540
GeForce GTX 650 Ti (Boost),980,1502 (6008),2048,144.2,192,62700.0,23500.0,2540
GeForce GTX 660,980,1502 (6008),5120,96.1+48.1 144.2,128+64 192,78400.0,23500.0,2540
GeForce GTX 660,823.5,1450 (5800),5120,139 186,192 256,79000.0,19800.0,3540
GeForce GTX 660 Ti,915,1502 (6008),2048,96.1+48.1 144.2,128+64 192,102500.0,22000.0,3540
GeForce GTX 670,915,1502 (6008),4096,192.256,256,102500.0,29300.0,3540
GeForce GTX 680,1006,1502 (6008),4096,192.256,256,128800.00000000001,32200.000000000004,3540
GeForce GTX 690,915,1502 (6008),2048,2× 192.256,2× 256,2000.0,2000.0 29280.0,2× 3540
GeForce GT 705,810,898 (1796),5120,14.4,64,6500.0,3240.0,292
GeForce GT 710,823,900 (1800),5120,14.4,64,13200.0,6600.0,1020
GeForce GT 710,954,900 (1800) 1253 (5010),2048,14.4 40.0,64,15300.0,7600.0,1020
GeForce GT 720,797,900 (1800) 1253 (5010),2048,14.4 40.0,64,12800.0,6400.0,1020
GeForce GT 730,902,900 (1800),4096,14.4,64,14440.0,7220.0,1020
GeForce GT 730,902,1250 (5000),2048,40.0,64,14440.0,7220.0,1020
GeForce GT 730,700,900 (1800),4096,28.8,128,11000.0,2800.0,585
GeForce GT 740,993,891 (1782),4096,28.5,128,31800.0,15900.0,1270
GeForce GT 740,993,1252 (5008),4096,80.1,128,31800.0,15900.0,1270
GeForce GTX 745,1033,900 (1800),4096,28.8,128,24800.0,16500.0,1870
GeForce GTX 750,1020,1250 (5000),4096,80,128,32600.0,16300.0,1870
GeForce GTX 750 Ti,1020,1350 (5400),4096,86.4,128,40800.0,16300.0,1870
GeForce GTX 760 (192-bit),824,1450 (5800),5120,139.2,192,79100.0,19800.0,3540
GeForce GTX 760,980,1502 (6008),4096,192.3,256,94000.0,31400.0,3540
GeForce GTX 760 Ti,915,1502 (6008),2048,192.3,256,102500.0,29300.0,3540
GeForce GTX 770,1046,1752.5 (7010),4096,224,256,134000.0,33500.0,3540
GeForce GTX 780,863,1502 (6008),6144,288.4,384,160500.0,41400.0,7080
GeForce GTX 780 Ti,876,1752.5 (7010),3072,336.5,384,210200.0,42000.0,7080
GeForce GTX TITAN,837,1502 (6008),6144,288.4,384,187500.0,40200.0,7080
GeForce GTX TITAN Black,889,1752.5 (7010),6144,336.5,384,213400.0,42700.0,7080
GeForce GTX TITAN Z,705,1752.5 (7010),6144,2× 336.5,2× 384,2000.0,2000.0 33800.0,2x 7080
